iter	Logloss
201	0.1301398918
202	0.1296256307
203	0.1289215018
204	0.1281348462
205	0.1274589959
206	0.1268932497
207	0.1262072996
208	0.1253096903
209	0.124382076
210	0.1237901661
211	0.1235466391
212	0.1232862411
213	0.122782877
214	0.1223763512
215	0.1218819957
216	0.1215413158
217	0.1211118451
218	0.1206943697
219	0.1201727245
220	0.1195455773
221	0.1189522581
222	0.118407225
223	0.1181534565
224	0.1176450372
225	0.1171795559
226	0.1166213074
227	0.1160433748
228	0.1156602564
229	0.1151681494
230	0.1143846399
231	0.1141875706
232	0.1138702264
233	0.1137831125
234	0.1133905077
235	0.1132221609
236	0.113039785
237	0.1122299891
238	0.111811707
239	0.1115811969
240	0.1112127854
241	0.1109397616
242	0.1105567873
243	0.110225347
244	0.1099620419
245	0.1094630864
246	0.1090941009
247	0.1085194207
248	0.1084331926
249	0.1082042869
250	0.1076933392
251	0.107601328
252	0.1074204535
253	0.1068028945
254	0.1063915156
255	0.1060702072
256	0.105761263
257	0.1050336585
258	0.1046781008
259	0.104007252
260	0.1036038793
261	0.1032457671
262	0.1029652165
263	0.1026474121
264	0.1021854556
265	0.1019242911
266	0.1017226229
267	0.1014807286
268	0.1009087817
269	0.1003027051
270	0.09991525791
271	0.09957839852
272	0.09907509539
273	0.09893924777
274	0.09860383376
275	0.09835100452
276	0.09780764065
277	0.09752171299
278	0.09719555161
279	0.09673634968
280	0.09620215869
281	0.09571243867
282	0.0953732492
283	0.09506487462
284	0.09469130097
285	0.09454851462
286	0.09429755337
287	0.09403244393
288	0.09393866218
289	0.09370327613
290	0.09310804872
291	0.09255629458
292	0.09182627906
293	0.09134684998
294	0.09110005665
295	0.09078093346
296	0.09050220909
297	0.09022060748
298	0.08984732188
299	0.08967497643
300	0.08952664881
301	0.08905528432
302	0.08894669679
303	0.08835269976
304	0.08814017757
305	0.08783604634
306	0.08731490568
307	0.08689654588
308	0.08676683499
309	0.08639147958
310	0.08610839258
311	0.08593219171
312	0.08555625513
313	0.08530097232
314	0.08517189718
315	0.08471637884
316	0.08455711098
317	0.08409364818
318	0.0838527267
319	0.083699814
320	0.08353771839
321	0.083476143
322	0.0832184917
323	0.08297205018
324	0.08251783272
325	0.08221473037
326	0.08196985023
327	0.08177910021
328	0.08151482625
329	0.08132896253
330	0.0810191921
331	0.08073353947
332	0.08066109998
333	0.08041094445
334	0.07983923536
335	0.07965058103
336	0.0793861581
337	0.07929824854
338	0.07892124717
339	0.07876268219
340	0.07850155327
341	0.07813194385
342	0.07786812928
343	0.07752884349
344	0.07693720717
345	0.07671790984
346	0.07653033785
347	0.07629841458
348	0.07579604762
349	0.07574053007
350	0.07545052059
351	0.07537098346
352	0.07524158555
353	0.0749937379
354	0.07491617511
355	0.07469742682
356	0.07450736975
357	0.07423000248
358	0.07383605622
359	0.07357349804
360	0.07335030026
361	0.07328511774
362	0.07318909286
363	0.07292313041
364	0.07272911134
365	0.07230833585
366	0.07206653605
367	0.07183611698
368	0.07167651795
369	0.07155288585
370	0.07131504935
371	0.07115556474
372	0.07082325003
373	0.07055455165
374	0.070442477
375	0.07027196899
376	0.06999871065
377	0.06991529339
378	0.06973234206
379	0.06949519397
380	0.06929169617
381	0.06888038518
382	0.06873930095
383	0.06866363963
384	0.06842154703
385	0.06815813437
386	0.06799055205
387	0.06774929524
388	0.06757576932
389	0.06734860033
390	0.0671859607
391	0.06705847662
392	0.06694084817
393	0.06679593812
394	0.06665969389
395	0.06657351205
396	0.06641468427
397	0.06602836361
398	0.06591526099
399	0.06558686643
400	0.06549749237
401	0.06523979246
402	0.06505068521
403	0.06489746017
404	0.06467267353
405	0.06452202136
406	0.06389810789
407	0.06366916017
408	0.06347111999
409	0.06328985241
410	0.06306536422
411	0.06286381464
412	0.06280617755
413	0.06258336804
414	0.06238955259
415	0.06219387795
416	0.06200219738
417	0.06192312788
418	0.06167696127
419	0.06152681477
420	0.06111258872
421	0.06099997888
422	0.06072846236
423	0.06052599033
424	0.06028628718
425	0.06018124895
426	0.05995167412
427	0.05975366169
428	0.05950320471
429	0.05936098797
430	0.05909520843
431	0.05894544851
432	0.05888300193
433	0.0588644902
434	0.05858183766
435	0.05842697368
436	0.05823762555
437	0.05806206469
438	0.05798333901
439	0.05780579403
440	0.0576444186
441	0.05750212562
442	0.05744077195
443	0.05713041589
444	0.05704026031
445	0.05683479984
446	0.05660599502
447	0.05652979079
448	0.05642271602
449	0.05633354447
450	0.05609121626
451	0.05596568873
452	0.05563472271
453	0.05540131003
454	0.05537855333
455	0.05526798272
456	0.05512659877
457	0.05497274312
458	0.05479230313
459	0.05469030162
460	0.05457498295
461	0.05449402474
462	0.05433629652
463	0.05425554773
464	0.05407264571
465	0.05402101491
466	0.0538710589
467	0.05381557582
468	0.05362679007
469	0.05346209252
470	0.05314247869
471	0.05308959271
472	0.05297206113
473	0.05285363859
474	0.05261331934
475	0.05253147032
476	0.05243332607
477	0.05237918822
478	0.05223789687
479	0.05198450034
480	0.05162308609
481	0.05151199454
482	0.05142709471
483	0.05131057434
484	0.05119211338
485	0.05112276648
486	0.05085868347
487	0.05063605139
488	0.05041901092
489	0.05038306059
490	0.05017500786
491	0.05000115867
492	0.04991760354
493	0.04973618755
